pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
54.239,-136.398,0.0,top,BZ1,,,Buzzer_12x9.5RM7.6,Buzzer,tht
65.121,-89.112,0.0,top,C1,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pF,smt
55.245,-64.135,-90.0,top,C10,,,CP_Elec_5x5.4,100uF,smt
75.565,-89.752,180.0,bottom,C11,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
62.865,-64.135,-90.0,top,C12,,,CP_Elec_5x5.4,100uF,smt
70.866,-63.881,-90.0,top,C13,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
100.33,-85.6996,90.0,bottom,C14,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt
107.3,-85.6996,90.0,bottom,C15,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt
114.3,-85.6996,90.0,bottom,C16,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt
65.121,-73.877,0.0,top,C2,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,22pF,smt
75.5265,-87.212,180.0,bottom,C3,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt
75.509,-74.512,180.0,bottom,C4,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt
89.027,-60.706,90.0,top,C5,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
86.487,-60.706,90.0,top,C6,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
64.897,-118.6434,180.0,top,C7,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt
64.867,-126.7714,180.0,top,C8,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,0.1uF,smt
81.026,-63.881,-90.0,top,C9,,,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,100nF,smt
85.344,-78.449,0.0,top,D1,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,GREEN,smt
95.386,-121.988,0.0,top,D10,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,GREEN,smt
110.352,-115.765,-90.0,top,D11,,,D_SMA,SS24,smt
95.386,-139.133,0.0,top,D12,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,BLUE,smt
110.352,-132.91,-90.0,top,D13,,,D_SMA,SS24,smt
100.33,-85.254,90.0,top,D14,,,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,WS2812B,smt
107.3,-85.254,90.0,top,D15,,,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,WS2812B,smt
114.3,-85.254,90.0,top,D16,,,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,WS2812B,smt
85.344,-82.259,0.0,top,D2,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,YELLOW,smt
54.7995,-110.363,0.0,top,D3,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,BLUE,smt
54.7487,-95.8088,0.0,top,D4,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,RED,smt
54.7995,-106.764666,0.0,top,D5,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,RED,smt
95.386,-104.843,0.0,top,D6,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,RED,smt
54.7995,-99.568,0.0,top,D7,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,GREEN,smt
54.7995,-103.166333,0.0,top,D8,,,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,BLUE,smt
110.352,-98.62,-90.0,top,D9,,,D_SMA,SS24,smt
59.531,-82.092,180.0,top,J1,,,USB_B_Lumberg_2411_02_Horizontal,USB_B,tht
96.2002,-128.3716,-90.0,top,J10,,,PinHeader_1x03_P2.54mm_Vertical,~,tht
125.45,-70.775,90.0,top,J2,,,PinHeader_2x04_P2.54mm_Vertical,GPIO,tht
